flower_part,count_grouping,category,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
inflorescence_stalk,inflorescence,prepollination,1,,,1,,1,1,,,,,,,1,
inflorescence_bud_tiny,inflorescence,prepollination,2,,,1,,,,2,,,,,,,
inflorescence_bud_small,inflorescence,prepollination,3,,,,,1,1,2,,,,,,,
inflorescence_bud_mid,inflorescence,prepollination,4,,,1,,,,2,,,,,,1,
inflorescence_bud_big_bracts,inflorescence,prepollination,5,,,,,,,2,,,,,,,
inflorescence_bud_big_flowers,inflorescence,prepollination,6,,,,,,,2,,,,,,,
bud_aborted,flower,prepollination,7,,,,,,,,,1,,1,,,
bud_tiny,flower,prepollination,8,2,4,,1,2,2,,,1,,1,,,
bud_small,flower,prepollination,10,2,4,,,2,2,,1,,1,,2,,
bud_mid,flower,prepollination,11,2,4,,1,2,2,,,1,1,,2,,
bud_big,flower,prepollination,13,2,4,1,1,2,2,,1,1,1,1,,1,2
bud_just_opening,flower,prepollination,15,2,,,,,2,,,,,,,,
flower_petals,flower,prepollination,16,2,4,1,1,2,2,2,1,1,1,1,2,1,2
flower_petals_small,flower,prepollination,18,,,,,,,,,,,,2,,
flower_stigma,flower,prepollination,19,2,,1,,2,2,2,,,1,1,2,1,2
flower_calyx,flower,prepollination,20,,4,,1,,,,1,1,,1,2,1,2
flower_calyx_aborting,flower,prepollination,,,,,,,,,1,,,,,,
flower_aborted,flower,prepollination,22,,,,,,,,,,,,2,,2
flower_aborted_without_petals,flower,prepollination,23,,,,,,,,,,,,2,,
flower_style,flower,prepollination,24,2,,,,,,,,,,,,,
finished_flower,flower,prepollination,25,,4,1,1,,,,1,1,,,2,,
finished_flower_aborting,flower,prepollination,,,,,,,,,1,,,,,,
finished_flower_stigma,flower,prepollination,27,2,1,,,2,2,2,,,1,,2,,2
late_finished_flower,flower,prepollination,28,,4,,,,,,,,,,2,,
late_flower_petals,flower,prepollination,28.1,,4,,,,,,,,,,,,
bract_flower_or_finished_flower,flower,prepollination,29,,,,,,,,,,,,2,1,2
inflorescence_stalk_in_fruit,inflorescence,packaging&dispersal,30,,,1,,,1,,,,,,,1,
inflorescence_stalk_in_fruit_large,inflorescence,packaging&dispersal,31,,,1,,,,,,,,,,,
inflorescence_stalk_in_fruit_very_large,inflorescence,packaging&dispersal,32,,,1,,,,,,,,,,,
